机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
青岛日辰食品,已受理,主板企业,青岛,广发证券股份有限公司,阎鹏&sbquo;陈凤华,北京德和衡律师事务所,郭芳晋&sbquo;郭恩颖&sbquo;张淼晶,中兴华会计师事务所(特殊普通合伙),吕建幕&sbquo;刁乃双,否,食品制造业,2017/10/12,80650856,AN201908141343416652,qdrcsp,https://notice.eastmoney.com/pdffile/web/H2_AN201908141343416652_1.pdf
青岛日辰食品,已反馈,主板企业,青岛,广发证券股份有限公司,阎鹏&sbquo;陈凤华,北京德和衡律师事务所,郭芳晋&sbquo;郭恩颖&sbquo;张淼晶,中兴华会计师事务所(特殊普通合伙),吕建幕&sbquo;刁乃双,是,食品制造业,2017/12/14,80650856,AN201908141343416652,qdrcsp,https://notice.eastmoney.com/pdffile/web/H2_AN201908141343416652_1.pdf
青岛日辰食品,预先披露更新,主板企业,青岛,广发证券股份有限公司,阎鹏&sbquo;陈凤华,北京德和衡律师事务所,郭芳晋&sbquo;郭恩颖&sbquo;张淼晶,中兴华会计师事务所(特殊普通合伙),吕建幕&sbquo;刁乃双,是,食品制造业,2018/10/11,80650856,AN201908141343416652,qdrcsp,https://notice.eastmoney.com/pdffile/web/H2_AN201908141343416652_1.pdf
青岛日辰食品,已通过发审会,主板企业,,广发证券股份有限公司,,北京德和衡律师事务所,,中兴华会计师事务所(特殊普通合伙),,是,,2019/7/18,80650856,AN201908141343416652,qdrcsp,https://notice.eastmoney.com/pdffile/web/H2_AN201908141343416652_1.pdf
青岛森麒麟轮胎,已受理,中小板,青岛,海通证券股份有限公司,顾峥&sbquo;焦阳,北京德恒律师事务所,官昌罗&sbquo;吴楠楠,信永中和会计师事务所(特殊普通合伙),毕强&sbquo;潘素娇,否,橡胶和塑料制品业,2018/5/10,80909928,AN202008301404363838,qdsqllt,https://notice.eastmoney.com/pdffile/web/H2_AN202008301404363838_1.pdf
青岛森麒麟轮胎,已反馈,中小板,青岛,海通证券股份有限公司,顾峥&sbquo;焦阳,北京德恒律师事务所,官昌罗&sbquo;吴楠楠,信永中和会计师事务所(特殊普通合伙),毕强&sbquo;潘素娇,是,橡胶和塑料制品业,2018/10/11,80909928,AN202008301404363838,qdsqllt,https://notice.eastmoney.com/pdffile/web/H2_AN202008301404363838_1.pdf
青岛森麒麟轮胎,预先披露更新,中小板,青岛,海通证券股份有限公司,顾峥&sbquo;焦阳,北京德恒律师事务所,官昌罗&sbquo;吴楠楠,信永中和会计师事务所(特殊普通合伙),毕强&sbquo;潘素娇,是,橡胶和塑料制品业,2018/10/25,80909928,AN202008301404363838,qdsqllt,https://notice.eastmoney.com/pdffile/web/H2_AN202008301404363838_1.pdf
青岛森麒麟轮胎,已通过发审会,中小板,,海通证券股份有限公司,,北京德恒律师事务所,,信永中和会计师事务所(特殊普通合伙),,是,,2020/6/11,80909928,AN202008301404363838,qdsqllt,https://notice.eastmoney.com/pdffile/web/H2_AN202008301404363838_1.pdf
青岛海容商用冷链,已受理,主板企业,青岛,国金证券股份有限公司,刘昊拓&sbquo;廖卫平,北京市君泽君律师事务所,赵世焰&sbquo;申文浩,信永中和会计师事务所(特殊普通合伙),毕强&sbquo;唐守东,是,通用设备制造业,2017/1/12,80373558,AN201811141245673651,qdhrsyll,https://notice.eastmoney.com/pdffile/web/H2_AN201811141245673651_1.pdf
青岛海容商用冷链,已反馈,主板企业,青岛,国金证券股份有限公司,刘昊拓&sbquo;廖卫平,北京市君泽君律师事务所,赵世焰&sbquo;申文浩,信永中和会计师事务所(特殊普通合伙),毕强&sbquo;唐守东,是,通用设备制造业,2017/10/12,80373558,AN201811141245673651,qdhrsyll,https://notice.eastmoney.com/pdffile/web/H2_AN201811141245673651_1.pdf
青岛海容商用冷链,预先披露更新,主板企业,青岛,国金证券股份有限公司,刘昊拓&sbquo;廖卫平,北京市君泽君律师事务所,赵世焰&sbquo;申文浩,信永中和会计师事务所(特殊普通合伙),毕强&sbquo;唐守东,是,通用设备制造业,2017/12/28,80373558,AN201811141245673651,qdhrsyll,https://notice.eastmoney.com/pdffile/web/H2_AN201811141245673651_1.pdf
青岛海容商用冷链,已通过发审会,主板企业,青岛,国金证券股份有限公司,刘昊拓&sbquo;廖卫平,北京市君泽君律师事务所,赵世焰&sbquo;申文浩,信永中和会计师事务所(特殊普通合伙),毕强&sbquo;唐守东,是,通用设备制造业,2018/10/11,80373558,AN201811141245673651,qdhrsyll,https://notice.eastmoney.com/pdffile/web/H2_AN201811141245673651_1.pdf
青岛港国际,已受理,主板企业,青岛,中信证券股份有限公司,叶建中&sbquo;董文,北京市嘉源律师事务所,史震健&sbquo;李丽&sbquo;刘静,普华永道中天会计师事务所(特殊普通合伙),李雪梅&sbquo;胡显霞,否,水上运输业,2017/10/12,80179558,AN201901071282968390,qdggj,https://notice.eastmoney.com/pdffile/web/H2_AN201901071282968390_1.pdf
青岛港国际,已反馈,主板企业,青岛,中信证券股份有限公司,叶建中&sbquo;董文,北京市嘉源律师事务所,史震健&sbquo;李丽&sbquo;刘静,普华永道中天会计师事务所(特殊普通合伙),李雪梅&sbquo;胡显霞,是,水上运输业,2018/1/11,80179558,AN201901071282968390,qdggj,https://notice.eastmoney.com/pdffile/web/H2_AN201901071282968390_1.pdf
青岛港国际,预先披露更新,主板企业,青岛,中信证券股份有限公司,叶建中&sbquo;董文,北京市嘉源律师事务所,史震健&sbquo;李丽&sbquo;刘静,普华永道中天会计师事务所(特殊普通合伙),李雪梅&sbquo;胡显霞,是,水上运输业,2018/4/12,80179558,AN201901071282968390,qdggj,https://notice.eastmoney.com/pdffile/web/H2_AN201901071282968390_1.pdf
青岛港国际,已通过发审会,主板企业,青岛,中信证券股份有限公司,叶建中&sbquo;董文,北京市嘉源律师事务所,史震健&sbquo;李丽&sbquo;刘静,普华永道中天会计师事务所(特殊普通合伙),李雪梅&sbquo;胡显霞,是,水上运输业,2018/10/11,80179558,AN201901071282968390,qdggj,https://notice.eastmoney.com/pdffile/web/H2_AN201901071282968390_1.pdf
青岛百洋医药,已受理,主板企业,青岛,广发证券股份有限公司,于方亮&sbquo;魏妩菡,北京市天元律师事务所,谭清&sbquo;曲秋明,广东正中珠江会计师事务所(特殊普通合伙),熊永忠&sbquo;杨新春,否,批发业,2018/4/12,80902074,AN202012101438668617,qdbyyy,https://notice.eastmoney.com/pdffile/web/H2_AN202012101438668617_1.pdf
青岛百洋医药,已反馈,主板企业,青岛,广发证券股份有限公司,于方亮&sbquo;魏妩菡,北京市天元律师事务所,谭清&sbquo;曲秋明,广东正中珠江会计师事务所(特殊普通合伙),熊永忠&sbquo;杨新春,是,批发业,2018/11/15,80902074,AN202012101438668617,qdbyyy,https://notice.eastmoney.com/pdffile/web/H2_AN202012101438668617_1.pdf
青岛百洋医药,预先披露更新,主板企业,青岛,广发证券股份有限公司,于方亮&sbquo;魏妩菡,北京市天元律师事务所,谭清&sbquo;曲秋明,广东正中珠江会计师事务所(特殊普通合伙),熊永忠&sbquo;杨新春,是,批发业,2018/12/13,80902074,AN202012101438668617,qdbyyy,https://notice.eastmoney.com/pdffile/web/H2_AN202012101438668617_1.pdf
青岛百洋医药,中止审查,主板企业,青岛,广发证券股份有限公司,于方亮&sbquo;魏妩菡,北京市天元律师事务所,谭清&sbquo;曲秋明,广东正中珠江会计师事务所(特殊普通合伙),熊永忠&sbquo;杨新春,是,批发业,2018/10/11,80902074,AN202012101438668617,qdbyyy,https://notice.eastmoney.com/pdffile/web/H2_AN202012101438668617_1.pdf
青岛百洋医药,已上发审会，暂缓表决,主板企业,,广发证券股份有限公司,,北京市天元律师事务所,,广东正中珠江会计师事务所(特殊普通合伙),,是,,2019/11/21,80902074,AN202012101438668617,qdbyyy,https://notice.eastmoney.com/pdffile/web/H2_AN202012101438668617_1.pdf
青岛英派斯健康科技,已受理,中小板,青岛,中信证券股份有限公司,张逊&sbquo;徐睿,北京德和衡律师事务所,房立棠&sbquo;郭恩颖,山东和信会计师事务所(特殊普通合伙),孙涌&sbquo;杨帅,否,文教、工美、体育和娱乐用品制造业,2017/1/12,80509331,AN201709030854506191,qdypsjkkj,https://notice.eastmoney.com/pdffile/web/H2_AN201709030854506191_1.pdf
青岛英派斯健康科技,已反馈,中小板,青岛,中信证券股份有限公司,张逊&sbquo;徐睿,北京德和衡律师事务所,房立棠&sbquo;郭恩颖,山东和信会计师事务所(特殊普通合伙),孙涌&sbquo;杨帅,否,文教、工美、体育和娱乐用品制造业,2017/3/16,80509331,AN201709030854506191,qdypsjkkj,https://notice.eastmoney.com/pdffile/web/H2_AN201709030854506191_1.pdf
青岛英派斯健康科技,预先披露更新,中小板,青岛,中信证券股份有限公司,张逊&sbquo;徐睿,北京德和衡律师事务所,房立棠&sbquo;郭恩颖,山东和信会计师事务所(特殊普通合伙),孙涌&sbquo;杨帅,是,文教、工美、体育和娱乐用品制造业,2017/7/27,80509331,AN201709030854506191,qdypsjkkj,https://notice.eastmoney.com/pdffile/web/H2_AN201709030854506191_1.pdf
青岛英派斯健康科技,已通过发审会,中小板,青岛,中信证券股份有限公司,张逊&sbquo;徐睿,北京德和衡律师事务所,房立棠&sbquo;郭恩颖,山东和信会计师事务所(特殊普通合伙),孙涌&sbquo;杨帅,是,文教、工美、体育和娱乐用品制造业,2017/8/10,80509331,AN201709030854506191,qdypsjkkj,https://notice.eastmoney.com/pdffile/web/H2_AN201709030854506191_1.pdf
青岛蔚蓝生物,已受理,主板企业,青岛,广发证券股份有限公司,王慧能&sbquo;陈凤华,北京市海润律师事务所,李伟&sbquo;穆曼怡,瑞华会计师事务所(特殊普通合伙),王传顺&sbquo;胡乃忠,否,食品制造业,2017/10/12,80653643,AN201901011281177919,qdwlsw,https://notice.eastmoney.com/pdffile/web/H2_AN201901011281177919_1.pdf
青岛蔚蓝生物,已反馈,主板企业,青岛,广发证券股份有限公司,王慧能&sbquo;陈凤华,北京市海润律师事务所,李伟&sbquo;穆曼怡,瑞华会计师事务所(特殊普通合伙),王传顺&sbquo;胡乃忠,,食品制造业,2017/10/19,80653643,AN201901011281177919,qdwlsw,https://notice.eastmoney.com/pdffile/web/H2_AN201901011281177919_1.pdf
青岛蔚蓝生物,预先披露更新,主板企业,青岛,广发证券股份有限公司,王慧能&sbquo;陈凤华,北京市海润律师事务所,李伟&sbquo;穆曼怡,瑞华会计师事务所(特殊普通合伙),王传顺&sbquo;胡乃忠,是,食品制造业,2018/10/11,80653643,AN201901011281177919,qdwlsw,https://notice.eastmoney.com/pdffile/web/H2_AN201901011281177919_1.pdf
青岛蔚蓝生物,已通过发审会,主板企业,青岛,广发证券股份有限公司,王慧能&sbquo;陈凤华,北京市海润律师事务所,李伟&sbquo;穆曼怡,瑞华会计师事务所(特殊普通合伙),王传顺&sbquo;胡乃忠,是,食品制造业,2018/10/25,80653643,AN201901011281177919,qdwlsw,https://notice.eastmoney.com/pdffile/web/H2_AN201901011281177919_1.pdf
青岛银行,已受理,中小板,青岛,中信证券股份有限公司,吴凌&sbquo;余晖,北京市金杜律师事务所,苏峥&sbquo;李元媛,毕马威华振会计师事务所(特殊普通合伙),程海良&sbquo;张君一,否,货币金融服务,2017/1/12,80046098,AN201812121267523739,qdyx,https://notice.eastmoney.com/pdffile/web/H2_AN201812121267523739_1.pdf
