序号,交易所,发行人全称,审核状态,注册地,行业,保荐机构,会计师事务所,律师事务所,更新日期,受理日期
620,深圳证券交易所,正业设计股份有限公司,中止,黑龙江,专业技术服务业,民生证券股份有限公司,立信会计师事务所（特殊普通合伙）,湖南启元律师事务所,2020/12/10,2020/7/3
621,上海证券交易所,正元地理信息集团股份有限公司,已问询,北京,专业技术服务业,中银国际证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/7/28,2020/6/30
622,上海证券交易所,武汉中科通达高新技术股份有限公司,已问询,湖北,软件和信息技术服务业,海通证券股份有限公司,立信会计师事务所（特殊普通合伙）,湖南金州律师事务所,2020/10/14,2020/9/10
623,深圳证券交易所,武汉光庭信息技术股份有限公司,已受理,湖北,软件和信息技术服务业,国金证券股份有限公司,大信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/31,2020/12/31
624,上海证券交易所,武汉兴图新科电子股份有限公司,注册生效,湖北,计算机、通信和其他电子设备制造业,中泰证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京观韬中茂律师事务所,2019/12/5,2019/6/27
625,深圳证券交易所,武汉华康世纪医疗股份有限公司,已受理,湖北,专业技术服务业,华英证券有限责任公司,中汇会计师事务所（特殊普通合伙）,国浩律师（武汉）事务所,2020/12/30,2020/12/30
626,深圳证券交易所,武汉回盛生物科技股份有限公司,注册生效,湖北,医药制造业,海通证券股份有限公司,中审众环会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/7/30,2020/6/23
627,深圳证券交易所,武汉天源环保股份有限公司,已问询,湖北,生态保护和环境治理业,中天国富证券有限公司,中审众环会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/16,2020/11/18
628,深圳证券交易所,武汉木仓科技股份有限公司,已受理,湖北,互联网和相关服务,华泰联合证券有限责任公司,中审众环会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/30,2020/12/30
629,上海证券交易所,武汉珈创生物技术股份有限公司,已问询,湖北,专业技术服务业,华龙证券股份有限公司,大信会计师事务所（特殊普通合伙）,北京市康达律师事务所,2021/1/15,2020/12/18
630,上海证券交易所,武汉科前生物股份有限公司,注册生效,湖北,医药制造业,招商证券股份有限公司,致同会计师事务所（特殊普通合伙）,北京市嘉源律师事务所,2020/8/25,2019/3/22
631,上海证券交易所,武汉菱电汽车电控系统股份有限公司,注册生效,湖北,计算机、通信和其他电子设备制造业,长江证券承销保荐有限公司,中汇会计师事务所（特殊普通合伙）,北京国枫律师事务所,2021/1/19,2020/6/4
632,上海证券交易所,气派科技股份有限公司,上市委会议,广东,计算机、通信和其他电子设备制造业,华创证券有限责任公司,天职国际会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/11/9,2020/6/24
633,深圳证券交易所,永泰运化工物流股份有限公司,已问询,浙江,商务服务业,安信证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/12/11,2020/7/31
634,上海证券交易所,江苏中信博新能源科技股份有限公司,注册生效,江苏,电气机械和器材制造业,安信证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/7/28,2020/4/7
635,深圳证券交易所,江苏中成紧固技术发展股份有限公司,已问询,江苏,专用设备制造业,华金证券股份有限公司,天衡会计师事务所（特殊普通合伙）,江苏世纪同仁律师事务所,2020/12/25,2020/12/2
636,深圳证券交易所,江苏中捷精工科技股份有限公司,已问询,江苏,汽车制造业,安信证券股份有限公司,大信会计师事务所（特殊普通合伙）,国浩律师（杭州）事务所,2020/12/30,2020/7/10
637,上海证券交易所,江苏云涌电子科技股份有限公司,注册生效,江苏,软件和信息技术服务业,浙商证券股份有限公司,中天运会计师事务所（特殊普通合伙）,国浩律师（南京）事务所,2020/6/10,2019/12/20
638,上海证券交易所,江苏京源环保股份有限公司,注册生效,江苏,专用设备制造业,平安证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/3/5,2019/7/5
639,深圳证券交易所,江苏保丽洁环境科技股份有限公司,已问询,江苏,专用设备制造业,华泰联合证券有限责任公司,天衡会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/12,2020/11/16
640,深圳证券交易所,江苏傲伦达科技实业股份有限公司,中止,江苏,化学原料和化学制品制造业,东北证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/16,2020/9/30
641,深圳证券交易所,江苏凤凰画材科技股份有限公司,已问询,江苏,文教、工美、体育和娱乐用品制造业,东兴证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市广发律师事务所,2020/12/29,2020/12/1
642,上海证券交易所,江苏北人机器人系统股份有限公司,注册生效,江苏,专用设备制造业,东吴证券股份有限公司,中汇会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2019/11/7,2019/3/22
643,深圳证券交易所,江苏华兰药用新材料股份有限公司,上市委会议通过,江苏,医药制造业,华泰联合证券有限责任公司,大华会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/15,2020/7/6
644,深圳证券交易所,江苏华绿生物科技股份有限公司,提交注册,江苏,农业,中信证券股份有限公司,致同会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2021/1/14,2020/6/30
645,深圳证券交易所,江苏华鹏智能仪表科技股份有限公司,已受理,江苏,仪器仪表制造业,华泰联合证券有限责任公司,容诚会计师事务所（特殊普通合伙）,江苏世纪同仁律师事务所,2020/12/29,2020/12/29
646,深圳证券交易所,江苏协昌电子科技股份有限公司,已问询,江苏,电气机械和器材制造业,国金证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/17,2020/6/28
647,上海证券交易所,江苏卓易信息科技股份有限公司,注册生效,江苏,软件和信息技术服务业,中信建投证券股份有限公司,天衡会计师事务所（特殊普通合伙）,北京国枫律师事务所,2019/11/7,2019/4/10
648,深圳证券交易所,江苏博云塑业股份有限公司,上市委会议通过,江苏,橡胶和塑料制品业,申港证券股份有限公司,天衡会计师事务所（特殊普通合伙）,国浩律师（南京）事务所,2020/12/22,2020/7/7
