序号,交易所,发行人全称,审核状态,注册地,行业,保荐机构,会计师事务所,律师事务所,更新日期,受理日期
232,上海证券交易所,北京键凯科技股份有限公司,注册生效,北京,化学原料和化学制品制造业,中信证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,北京安杰律师事务所,2020/7/28,2019/11/1
233,上海证券交易所,北京阳光诺和药物研究股份有限公司,已问询,北京,研究和试验发展,民生证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/9/29,2020/9/2
234,深圳证券交易所,北京雅迪传媒股份有限公司,已问询,北京,商务服务业,东兴证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/12/17,2020/11/19
235,深圳证券交易所,北京零点有数数据科技股份有限公司,已问询,北京,商务服务业,中原证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/13,2020/7/6
236,上海证券交易所,北京青云科技股份有限公司,提交注册,北京,软件和信息技术服务业,中国国际金融股份有限公司,容诚会计师事务所（特殊普通合伙）,北京市汉坤律师事务所,2020/10/30,2020/4/7
237,上海证券交易所,北京龙软科技股份有限公司,注册生效,北京,软件和信息技术服务业,中国民族证券有限责任公司,瑞华会计师事务所（特殊普通合伙）,北京德恒律师事务所,2019/11/27,2019/4/3
238,深圳证券交易所,北农大科技股份有限公司,中止,北京,农副食品加工业,中天国富证券有限公司,天健会计师事务所（特殊普通合伙）,北京市君合律师事务所,2020/12/11,2020/9/30
239,深圳证券交易所,千里马机械供应链股份有限公司,已受理,湖北,批发业,西部证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/28,2020/12/28
240,深圳证券交易所,华兰生物疫苗股份有限公司,已问询,河南,医药制造业,华泰联合证券有限责任公司,大华会计师事务所(特殊普通合伙),安徽承义律师事务所,2020/12/31,2020/12/3
241,深圳证券交易所,华厦眼科医院集团股份有限公司,已问询,福建,卫生,中国国际金融股份有限公司,容诚会计师事务所(特殊普通合伙）,上海市锦天城律师事务所,2021/1/20,2020/7/31
242,上海证券交易所,华夏天信智能物联股份有限公司,终止,山东,专用设备制造业,中泰证券股份有限公司,致同会计师事务所（特殊普通合伙）,北京德恒律师事务所,2019/10/21,2019/5/31
243,深圳证券交易所,华安鑫创控股（北京）股份有限公司,注册生效,北京,专业技术服务业,国金证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/17,2020/6/22
244,深圳证券交易所,华新绿源环保股份有限公司,已问询,北京,废弃资源综合利用业,东兴证券股份有限公司,致同会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/11,2020/11/13
245,深圳证券交易所,华智机器股份公司,已问询,广东,电气机械和器材制造业,民生证券股份有限公司,大华会计师事务所（特殊普通合伙）,广东信达律师事务所,2020/11/26,2020/7/31
246,深圳证券交易所,华泰永创（北京）科技股份有限公司,已受理,北京,专业技术服务业,东北证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/28,2020/12/28
247,上海证券交易所,华海清科股份有限公司,已问询,天津,专用设备制造业,国泰君安证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/11/12,2020/10/15
248,深圳证券交易所,华润化学材料科技股份有限公司,上市委会议通过,江苏,化学原料和化学制品制造业,中信建投证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2021/1/9,2020/7/30
249,上海证券交易所,华润微电子有限公司,注册生效,境外,计算机、通信和其他电子设备制造业,中国国际金融股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京市环球律师事务所,2020/1/20,2019/6/26
250,上海证券交易所,华熙生物科技股份有限公司,注册生效,山东,医药制造业,华泰联合证券有限责任公司,致同会计师事务所（特殊普通合伙）,北京市通商律师事务所,2019/9/29,2019/4/10
251,深圳证券交易所,华缘新材料股份有限公司,已问询,浙江,非金属矿物制品业,东吴证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/1,2020/7/23
252,深圳证券交易所,华蓝集团股份公司,上市委会议通过,广西,专业技术服务业,太平洋证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/25,2020/7/6
253,深圳证券交易所,华融化学股份有限公司,已受理,四川,化学原料和化学制品制造业,华泰联合证券有限责任公司,四川华信（集团）会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/24,2020/12/24
254,上海证券交易所,南亚新材料科技股份有限公司,注册生效,上海,计算机、通信和其他电子设备制造业,光大证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/7/15,2020/3/10
255,上海证券交易所,南京万德斯环保科技股份有限公司,注册生效,江苏,生态保护和环境治理业,广发证券股份有限公司,中天运会计师事务所（特殊普通合伙）,江苏世纪同仁律师事务所,2019/12/10,2019/4/18
256,上海证券交易所,南京伟思医疗科技股份有限公司,注册生效,江苏,专用设备制造业,长江证券承销保荐有限公司,天衡会计师事务所（特殊普通合伙）,江苏世纪同仁律师事务所,2020/6/23,2019/12/19
257,深圳证券交易所,南京商络电子股份有限公司,提交注册,江苏,批发业,华泰联合证券有限责任公司,中天运会计师事务所（特殊普通合伙）,上海市广发律师事务所,2021/1/14,2020/6/24
258,深圳证券交易所,南京大学环境规划设计研究院股份公司,注册生效,江苏,专业技术服务业,华泰联合证券有限责任公司,天衡会计师事务所（特殊普通合伙）,江苏泰和律师事务所,2020/7/30,2020/6/22
259,上海证券交易所,南京微创医学科技股份有限公司,注册生效,江苏,专用设备制造业,南京证券股份有限公司,中天运会计师事务所（特殊普通合伙）,北京金诚同达律师事务所,2019/7/2,2019/4/3
260,上海证券交易所,南京森根科技股份有限公司,提交注册,江苏,软件和信息技术服务业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2021/1/14,2020/5/29
261,深圳证券交易所,南京腾亚精工科技股份有限公司,已受理,江苏,通用设备制造业,东吴证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/29,2020/12/29
262,上海证券交易所,南京茂莱光学科技股份有限公司,中止（财报更新）,江苏,仪器仪表制造业,中国国际金融股份有限公司,中天运会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/31,2020/8/7
263,上海证券交易所,南京诺唯赞生物科技股份有限公司,已问询,江苏,医药制造业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,北京市天元律师事务所,2021/1/20,2020/12/24
264,上海证券交易所,南京迪威尔高端制造股份有限公司,注册生效,江苏,专用设备制造业,华泰联合证券有限责任公司,江苏公证天业会计师事务所（特殊普通合伙）,国浩律师（南京）事务所,2020/6/4,2019/10/9
265,深圳证券交易所,南京雷尔伟新技术股份有限公司,已问询,江苏,铁路、船舶、航空航天和其他运输设备制造业,民生证券股份有限公司,天衡会计师事务所(特殊普通合伙),北京国枫律师事务所,2021/1/12,2020/7/3
266,深圳证券交易所,南凌科技股份有限公司,注册生效,广东,软件和信息技术服务业,招商证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/2,2020/7/3
267,上海证券交易所,南通国盛智能科技集团股份有限公司,注册生效,江苏,通用设备制造业,申港证券股份有限公司,天健会计师事务所（特殊普通合伙）,江苏世纪同仁律师事务所,2020/5/28,2019/11/5
268,上海证券交易所,南通星球石墨股份有限公司,提交注册,江苏,专用设备制造业,华泰联合证券有限责任公司,致同会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/24,2020/6/1
269,深圳证券交易所,南通江天化学股份有限公司,注册生效,江苏,化学原料和化学制品制造业,平安证券股份有限公司,瑞华会计师事务所（特殊普通合伙）,江苏君哲律师事务所,2020/12/9,2020/7/1
270,深圳证券交易所,南通泰禾化工股份有限公司,中止,江苏,化学原料和化学制品制造业,光大证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/12/31,2020/9/15
271,深圳证券交易所,南通超达装备股份有限公司,已问询,江苏,专用设备制造业,海通证券股份有限公司,天衡会计师事务所（特殊普通合伙）,北京市环球律师事务所,2020/12/21,2020/7/30
272,深圳证券交易所,南通跃通数控设备股份有限公司,已问询,江苏,专用设备制造业,东吴证券股份有限公司,天衡会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2021/1/11,2020/7/28
273,上海证券交易所,博众精工科技股份有限公司,注册生效,江苏,专用设备制造业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,上海澄明则正律师事务所,2020/4/24,2019/4/1
274,上海证券交易所,博创智能装备股份有限公司,已问询,广东,专用设备制造业,国金证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/21,2020/11/23
275,上海证券交易所,博拉网络股份有限公司,终止,重庆,互联网和相关服务,申万宏源证券承销保荐有限责任公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2019/11/14,2019/4/24
276,上海证券交易所,博瑞生物医药（苏州）股份有限公司,注册生效,江苏,医药制造业,民生证券股份有限公司,江苏公证天业会计师事务所（特殊普通合伙）,北京市竞天公诚律师事务所,2019/10/12,2019/4/8
277,深圳证券交易所,厦门东亚机械工业股份有限公司,上市委会议通过,福建,通用设备制造业,中信证券股份有限公司,容诚会计师事务所（特殊普通合伙）,上海市通力律师事务所,2021/1/12,2020/7/7
278,深圳证券交易所,厦门南讯股份有限公司,已问询,福建,软件和信息技术服务业,国金证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/14,2020/11/17
279,上海证券交易所,厦门厦钨新能源材料股份有限公司,上市委会议,福建,计算机、通信和其他电子设备制造业,兴业证券股份有限公司,致同会计师事务所（特殊普通合伙）,福建至理律师事务所,2020/12/29,2020/8/4
280,深圳证券交易所,厦门唯科模塑科技股份有限公司,已问询,福建,专用设备制造业,国金证券股份有限公司,大华会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/22,2020/11/24
281,深圳证券交易所,厦门嘉戎技术股份有限公司,已问询,福建,生态保护和环境治理业,安信证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京市君合律师事务所,2020/12/18,2020/8/25
282,深圳证券交易所,厦门多想互动文化传播股份有限公司,终止注册,福建,商务服务业,长江证券承销保荐有限公司,致同会计师事务所（特殊普通合伙）,北京市通商律师事务所,2021/1/14,2020/6/30
283,上海证券交易所,厦门特宝生物工程股份有限公司,注册生效,福建,医药制造业,国金证券股份有限公司,致同会计师事务所（特殊普通合伙）,国浩律师（深圳）事务所,2019/12/13,2019/3/27
284,深圳证券交易所,厦门狄耐克智能科技股份有限公司,注册生效,福建,计算机、通信和其他电子设备制造业,国信证券股份有限公司,容诚会计师事务所（特殊普通合伙）,广东信达律师事务所,2020/10/15,2020/6/28
285,深圳证券交易所,厦门美柚股份有限公司,已问询,福建,互联网和相关服务,华泰联合证券有限责任公司,容诚会计师事务所（特殊普通合伙）,北京世辉律师事务所,2020/12/25,2020/7/30
286,深圳证券交易所,双乐颜料股份有限公司,提交注册,江苏,化学原料和化学制品制造业,东兴证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市广发律师事务所,2021/1/14,2020/6/29
287,深圳证券交易所,可孚医疗科技股份有限公司,已问询,湖南,专用设备制造业,西部证券股份有限公司,立信会计师事务所（特殊普通合伙）,湖南启元律师事务所,2020/12/15,2020/7/20
288,深圳证券交易所,合肥东方节能科技股份有限公司,终止(撤回),安徽,专用设备制造业,国金证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市通力律师事务所,2020/12/8,2020/7/8
289,上海证券交易所,合肥工大高科信息科技股份有限公司,已问询,安徽,铁路、船舶、航空航天和其他运输设备制造业,国元证券股份有限公司,天健会计师事务所（特殊普通合伙）,安徽承义律师事务所,2020/9/30,2020/9/4
290,上海证券交易所,合肥江航飞机装备股份有限公司,注册生效,安徽,铁路、船舶、航空航天和其他运输设备制造业,中航证券有限公司,中信证券股份有限公司,中审众环会计师事务所（特殊普通合伙）,2020/7/6,2019/11/21
291,上海证券交易所,合肥科威尔电源系统股份有限公司,注册生效,安徽,专用设备制造业,国元证券股份有限公司,容诚会计师事务所（特殊普通合伙）,安徽天禾律师事务所,2020/8/11,2020/4/3
292,上海证券交易所,合肥芯碁微电子装备股份有限公司,提交注册,安徽,专用设备制造业,海通证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京德恒律师事务所,2021/1/6,2020/5/13
293,上海证券交易所,吉利汽车控股有限公司,上市委会议,境外,汽车制造业,中国国际金融股份有限公司,华泰联合证券有限责任公司,致同会计师事务所（特殊普通合伙）,2020/9/28,2020/9/1
294,上海证券交易所,吉林奥来德光电材料股份有限公司,注册生效,吉林,专用设备制造业,申万宏源证券承销保荐有限责任公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/8/5,2020/4/8
295,上海证券交易所,吉林省中研高分子材料股份有限公司,中止（财报更新）,吉林,化学原料和化学制品制造业,安信证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/12/31,2020/9/29
296,深圳证券交易所,吉林省西点药业科技发展股份有限公司,已问询,吉林,医药制造业,海通证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/12/18,2020/7/17
297,上海证券交易所,呈和科技股份有限公司,上市委会议,广东,化学原料和化学制品制造业,中信建投证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京国枫律师事务所,2021/1/19,2020/6/8
298,上海证券交易所,和舰芯片制造（苏州）股份有限公司,终止,江苏,计算机、通信和其他电子设备制造业,长江证券承销保荐有限公司,大华会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2019/7/23,2019/3/22
299,深圳证券交易所,品渥食品股份有限公司,注册生效,上海,零售业,中信建投证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/8/26,2020/6/22
300,深圳证券交易所,哈尔滨岛田大鹏工业股份有限公司,已受理,黑龙江,专用设备制造业,申万宏源证券承销保荐有限责任公司,天职国际会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/29,2020/12/29
301,上海证券交易所,哈尔滨新光光电科技股份有限公司,注册生效,黑龙江,计算机、通信和其他电子设备制造业,中信建投证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市康达律师事务所,2019/7/1,2019/3/29
302,深圳证券交易所,哈尔滨森鹰窗业股份有限公司,已受理,黑龙江,木材加工和木、竹、藤、棕、草制品业,民生证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/29,2020/12/29
303,深圳证券交易所,哈焊所华通（常州）焊业股份有限公司,已受理,江苏,金属制品业,中信建投证券股份有限公司,中汇会计师事务所(特殊普通合伙),上海市锦天城律师事务所,2020/12/29,2020/12/29
304,上海证券交易所,唐山百川智能机器股份有限公司,中止（财报更新）,河北,铁路、船舶、航空航天和其他运输设备制造业,中信证券股份有限公司,致同会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/31,2020/9/25
305,深圳证券交易所,嘉亨家化股份有限公司,提交注册,福建,橡胶和塑料制品业,安信证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京德恒律师事务所,2021/1/14,2020/6/29
306,上海证券交易所,嘉和美康（北京）科技股份有限公司,中止（财报更新）,北京,软件和信息技术服务业,华泰联合证券有限责任公司,大华会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/31,2020/9/3
307,上海证券交易所,嘉必优生物技术（武汉）股份有限公司,注册生效,湖北,食品制造业,国泰君安证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2019/11/15,2019/4/29
308,深圳证券交易所,四川侨源气体股份有限公司,已受理,四川,化学原料和化学制品制造业,中信建投证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/23,2020/12/23
309,深圳证券交易所,四川华夏万卷文化传媒股份有限公司,暂缓审议,四川,新闻和出版业,华安证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/9,2020/7/14
310,深圳证券交易所,四川合纵药易购医药股份有限公司,注册生效,四川,批发业,申万宏源证券承销保荐有限责任公司,立信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/24,2020/6/28
311,上海证券交易所,四川天微电子股份有限公司,已问询,四川,计算机、通信和其他电子设备制造业,国金证券股份有限公司,四川华信（集团）会计师事务所（特殊普通合伙）,北京市康达律师事务所,2020/11/10,2020/10/13
312,深圳证券交易所,四川新荷花中药饮片股份有限公司,中止,四川,医药制造业,海通证券股份有限公司,四川华信（集团）会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/11/26,2020/9/18
313,深圳证券交易所,四川新闻网传媒（集团）股份有限公司,提交注册,四川,互联网和相关服务,华西证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/30,2020/6/23
314,上海证券交易所,四川汇宇制药股份有限公司,已问询,四川,医药制造业,中信建投证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海东方华银律师事务所,2020/12/30,2020/12/2
315,深圳证券交易所,四川观想科技股份有限公司,已问询,四川,软件和信息技术服务业,第一创业证券承销保荐有限责任公司,大信会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2021/1/19,2020/9/30
316,深圳证券交易所,四川龙华光电薄膜股份有限公司,已受理,四川,橡胶和塑料制品业,华泰联合证券有限责任公司,天健会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/30,2020/12/30
317,上海证券交易所,四方光电股份有限公司,注册生效,湖北,计算机、通信和其他电子设备制造业,海通证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,国浩律师（杭州）事务所,2021/1/5,2020/4/29
318,深圳证券交易所,固克节能科技股份有限公司,已问询,福建,化学原料和化学制品制造业,兴业证券股份有限公司,容诚会计师事务所(特殊普通合伙),北京国枫律师事务所,2020/11/23,2020/10/29
319,上海证券交易所,固安信通信号技术股份有限公司,上市委会议,河北,铁路、船舶、航空航天和其他运输设备制造业,安信证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/15,2020/6/30
320,深圳证券交易所,国安达股份有限公司,注册生效,福建,专用设备制造业,招商证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京金诚同达律师事务所,2020/9/23,2020/7/1
321,上海证券交易所,国泰新点软件股份有限公司,上市委会议,江苏,软件和信息技术服务业,国泰君安证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/3,2020/7/30
322,深圳证券交易所,国科恒泰（北京）医疗科技股份有限公司,已问询,北京,批发业,长城证券股份有限公司,致同会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2021/1/20,2020/7/28
323,上海证券交易所,国网智能科技股份有限公司,终止,山东,专用设备制造业,中信证券股份有限公司,致同会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/9/30,2020/6/4
324,深圳证券交易所,国能日新科技股份有限公司,已问询,北京,软件和信息技术服务业,长江证券承销保荐有限公司,立信会计师事务所（特殊普通合伙）,北京市通商律师事务所,2020/12/20,2020/11/24
325,深圳证券交易所,圣元环保股份有限公司,注册生效,福建,生态保护和环境治理业,国泰君安证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/7/29,2020/6/29
326,上海证券交易所,圣湘生物科技股份有限公司,注册生效,湖南,医药制造业,西部证券股份有限公司,中审众环会计师事务所（特殊普通合伙）,湖南启元律师事务所,2020/7/28,2020/3/4
327,上海证券交易所,埃夫特智能装备股份有限公司,注册生效,安徽,通用设备制造业,国信证券股份有限公司,华普天健会计师事务所（特殊普通合伙）,北京市竞天公诚律师事务所,2020/6/10,2019/6/26
328,深圳证券交易所,大汉科技股份有限公司,已问询,山东,专用设备制造业,国信证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/15,2020/7/16
329,深圳证券交易所,大运汽车股份有限公司,已问询,山西,汽车制造业,中信证券股份有限公司,普华永道中天会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2021/1/8,2020/7/2
330,深圳证券交易所,大连德迈仕精密科技股份有限公司,上市委会议通过,辽宁,汽车制造业,华创证券有限责任公司,大华会计师事务所（特殊普通合伙）,北京市天元律师事务所,2021/1/6,2020/6/29
331,上海证券交易所,大连豪森设备制造股份有限公司,注册生效,辽宁,专用设备制造业,海通证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/9/29,2020/4/16
332,上海证券交易所,天合光能股份有限公司,注册生效,江苏,电气机械和器材制造业,华泰联合证券有限责任公司,华普天健会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/4/29,2019/5/16
333,上海证券交易所,天士力生物医药股份有限公司,终止,上海,医药制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市竞天公诚律师事务所,2021/1/8,2020/9/3
334,上海证券交易所,天津久日新材料股份有限公司,注册生效,天津,化学原料和化学制品制造业,招商证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京国枫律师事务所,2019/10/12,2019/4/18
335,深圳证券交易所,天津华鸿科技股份有限公司,已受理,天津,专用设备制造业,国信证券股份有限公司,大信会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/24,2020/12/24
336,深圳证券交易所,天津捷强动力装备股份有限公司,注册生效,天津,专用设备制造业,中国国际金融股份有限公司,容诚会计师事务所（特殊普通合伙）,北京市天元律师事务所,2020/8/3,2020/7/2
337,深圳证券交易所,天津津荣天宇精密机械股份有限公司,上市委会议通过,天津,金属制品业,太平洋证券股份有限公司,公证天业会计师事务所（特殊普通合伙）,北京市通商律师事务所,2020/11/26,2020/7/9
338,上海证券交易所,天能电池集团股份有限公司,注册生效,浙江,电气机械和器材制造业,中信证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/15,2019/12/30
339,上海证券交易所,天臣国际医疗科技股份有限公司,注册生效,江苏,专用设备制造业,安信证券股份有限公司,中天运会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/9/1,2020/4/17
340,深圳证券交易所,天阳宏业科技股份有限公司,注册生效,西藏,软件和信息技术服务业,光大证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京德和衡律师事务所,2020/8/3,2020/7/1
341,深圳证券交易所,太湖金张科技股份有限公司,终止(撤回),安徽,计算机、通信和其他电子设备制造业,国元证券股份有限公司,天健会计师事务所,泰和泰律师事务所,2020/12/16,2020/6/24
342,上海证券交易所,奇安信科技集团股份有限公司,注册生效,北京,软件和信息技术服务业,中信建投证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京金杜（成都）律师事务所,2020/7/6,2020/5/11
343,深圳证券交易所,奕东电子科技股份有限公司,已问询,广东,计算机、通信和其他电子设备制造业,招商证券股份有限公司,致同会计师事务所（特殊普通合伙）,北京国枫律师事务所,2021/1/6,2020/10/9
344,上海证券交易所,奥精医疗科技股份有限公司,上市委会议,北京,专用设备制造业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,北京观韬中茂律师事务所,2021/1/13,2020/6/19
345,上海证券交易所,威海市天罡仪表股份有限公司,终止,山东,仪器仪表制造业,安信证券股份有限公司,致同会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/5/19,2019/12/19
346,深圳证券交易所,威海市泓淋电力技术股份有限公司,已问询,山东,电气机械和器材制造业,中信证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京德和衡律师事务所,2021/1/6,2020/12/8
347,上海证券交易所,威胜信息技术股份有限公司,注册生效,湖南,计算机、通信和其他电子设备制造业,中国国际金融股份有限公司,天健会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2019/12/20,2019/4/4
348,上海证券交易所,威腾电气集团股份有限公司,上市委会议,江苏,电气机械和器材制造业,中信证券股份有限公司,江苏苏亚金诚会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/14,2020/6/11
349,上海证券交易所,孚能科技（赣州）股份有限公司,注册生效,江西,电气机械和器材制造业,华泰联合证券有限责任公司,安永华明会计师事务所（特殊普通合伙）,北京市竞天公诚律师事务所,2020/5/20,2019/9/16
350,深圳证券交易所,孩子王儿童用品股份有限公司,已问询,江苏,零售业,华泰联合证券有限责任公司,安永华明会计师事务所（特殊普通合伙）,北京市汉坤律师事务所,2021/1/10,2020/7/13
351,深圳证券交易所,宁夏晓鸣农牧股份有限公司,上市委会议通过,宁夏,畜牧业,华西证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京海润天睿律师事务所,2020/11/15,2020/6/30
352,深圳证券交易所,宁夏沃福百瑞枸杞产业股份有限公司,上市委会议通过,宁夏,农副食品加工业,中天国富证券有限公司,大华会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/24,2020/6/22
353,深圳证券交易所,宁波卡倍亿电气技术股份有限公司,注册生效,浙江,汽车制造业,东莞证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/7/29,2020/6/22
354,深圳证券交易所,宁波喜悦智行科技股份有限公司,已问询,浙江,橡胶和塑料制品业,华安证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2021/1/8,2020/7/6
355,上海证券交易所,宁波均普智能制造股份有限公司,中止（财报更新）,浙江,专用设备制造业,海通证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/31,2020/9/16
356,深圳证券交易所,宁波大叶园林设备股份有限公司,注册生效,浙江,专用设备制造业,海通证券股份有限公司,天健会计师事务所（特殊普通合伙）,浙江天册律师事务所,2020/8/12,2020/7/2
357,上海证券交易所,宁波天益医疗器械股份有限公司,注册生效,浙江,专用设备制造业,国泰君安证券股份有限公司,立信会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/10/29,2020/3/26
358,深圳证券交易所,宁波家联科技股份有限公司,已问询,浙江,橡胶和塑料制品业,招商证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京观韬中茂律师事务所,2020/12/15,2020/7/21
359,上海证券交易所,宁波容百新能源科技股份有限公司,注册生效,浙江,计算机、通信和其他电子设备制造业,中信证券股份有限公司,天健会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2019/6/30,2019/3/22
360,深圳证券交易所,宁波微科光电股份有限公司,中止,浙江,计算机、通信和其他电子设备制造业,招商证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2021/1/13,2020/11/2
361,深圳证券交易所,宁波恒帅股份有限公司,上市委会议通过,浙江,汽车制造业,国金证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/11/11,2020/7/6
362,深圳证券交易所,宁波方正汽车模具股份有限公司,上市委会议通过,浙江,专用设备制造业,国元证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/11/19,2020/7/1
363,深圳证券交易所,宁波星源卓镁技术股份有限公司,已问询,浙江,有色金属冶炼和压延加工业,安信证券股份有限公司,容诚会计师事务所（特殊普通合伙）,北京德恒律师事务所,2021/1/8,2020/7/28
364,上海证券交易所,宁波环洋新材料股份有限公司,已受理,浙江,化学原料和化学制品制造业,安信证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京市天元律师事务所,2021/1/6,2021/1/6
365,深圳证券交易所,宁波色母粒股份有限公司,上市委会议通过,浙江,橡胶和塑料制品业,国信证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/30,2020/7/7
366,深圳证券交易所,宁波迦南智能电气股份有限公司,注册生效,浙江,仪器仪表制造业,东莞证券股份有限公司,中汇会计师事务所（特殊普通合伙）,北京雍行律师事务所,2020/8/12,2020/6/22
